stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type
500104,TMENGA5,Terminal Menga B1,3.48928833,-76.50795833,0
500105,TMENGA6,Terminal Menga B2,3.48930028,-76.50823611,0
500106,TMENGA7,Terminal Menga B3,3.489515,-76.50870667,0
500107,TMENGA8,Terminal Menga B4,3.48945833,-76.50890639,0
500108,TMENGA9,Terminal Menga A1,3.48941528,-76.50773806,0
500109,TMENGA10,Terminal Menga A2,3.48947833,-76.50791222,0
500110,TMENGA11,Terminal Menga A3,3.48953639,-76.5081075,0
500111,TMENGA12,Terminal Menga A4,3.48956889,-76.50827528,0
500112,TMENGA13,Terminal Menga A5,3.48960472,-76.50843972,0
500113,TMENGA14,Terminal Menga A6,3.48965222,-76.50861389,0
500114,TMENGA15,Terminal Menga A7,3.48969417,-76.50878278,0
500150,A.SANIN1,Terminal Andres Sanin B1,3.44380222,-76.48254306,0
500151,A.SANIN2,Terminal Andres Sanin B2,3.44387611,-76.48310333,0
500152,A.SANIN3,Terminal Andres Sanin B3,3.44393694,-76.48358722,0
500153,A.SANIN4,Terminal Andres Sanin C1,3.44368472,-76.48253694,0
500154,A.SANIN5,Terminal Andres Sanin C3,3.44375639,-76.48306028,0
500155,A.SANIN6,Terminal Andres Sanin C4,3.44380556,-76.48340583,0
500156,A.SANIN7,Terminal Andres Sanin D3,3.44354333,-76.48295167,0
500158,A.SANI10,Terminal Andres Sanin E3,3.44337667,-76.48265444,0
500159,A.SANI11,Terminal Andres Sanin E2,3.44342167,-76.48298833,0
500160,A.SANI12,Terminal Andres Sanin C2,3.44371222,-76.48273083,0
500161,A.SANI13,Terminal Andres Sanin C5,3.44382639,-76.48357861,0
500162,A.SANI14,Terminal Andres Sanin D1,3.44348861,-76.48359917,0
500163,A.SANI15,Terminal Andres Sanin E1,3.44334194,-76.48351694,0
500164,A.SANI16,Terminal Andres Sanin D4,3.44350417,-76.48275778,0
500165,A.SANI17,Terminal Andres Sanin D5,3.44351,-76.48255917,0
500166,A.SANIN9,Terminal Andres Sanin A1,3.44401861,-76.48342778,0
500200,CHIMI3,Chiminangos A2,3.481915,-76.49791167,0
500201,CHIMI2,Chiminangos B1,3.48160167,-76.49807667,0
500202,CHIMI1,Chiminangos A1,3.48178639,-76.49809556,0
500203,CHIMI4,Chiminangos B2,3.48196389,-76.49778833,0
500250,FLORAI1,Flora Industrial A1,3.4782025,-76.50237833,0
500251,FLORAI2,Flora Industrial B1,3.478355,-76.502095,0
500300,SALOM1,Salomia A1,3.473625,-76.50695,0
500301,SALOM2,Salomia B1,3.47385167,-76.506555,0
500350,POPU1,Popular A1,3.46947,-76.51088667,0
500353,POPU4,Popular B2,3.46967833,-76.510565,0
500400,MZAN1,Manzanares A1,3.466125,-76.513435,0
500401,MZAN2,Manzanares B1,3.46632,-76.51322,0
500450,FATI1,Fatima A1,3.46289,-76.51752,0
500451,FATI2,Fatima B1,3.46297667,-76.517225,0
