OBJECTID,RECORRIDO,CODIGO,NOMBRE,SISTEMA,TIPO,EMPRESA,SHAPELEN
166,Origen-Destino,402,Transversal Occidental,2B,Directa Centro,Transporte Medellín Castilla ,9680.29004885434
150,Origen-Destino,263,12 de Octubre - Calle 90,2B,Directa Centro,Transporte Medellín Castilla ,9802.32411563173
152,Origen-Destino,263i,12 de Octubre - Estación Tricentenario,2B,Integrada,Transporte Medellín Castilla ,4616.66113887655
153,Origen-Destino,263ii,12 de Octubre - Estación Tricentenario,2B,Integrada,Transporte Medellín Castilla ,1470.55421013473
154,Origen-Destino,265,Castillita,2B,Directa Centro,Transporte Medellín Castilla ,9352.45210080675
155,Origen-Destino,270i,Gratamira-Estación Acevedo,2B,Integrada,Transporte Medellín Castilla ,3162.19776873453
156,Origen-Destino,280,Santander - Carrera 73,2B,Directa Centro,Transporte Medellín Castilla ,10087.9097829425
157,Origen-Destino,280 Directa,Santander - Carrera 73,2B,Directa Centro,Transporte Medellín Castilla ,9391.11116332629
158,Origen-Destino,281,Florencia,2B,Directa Centro,Transporte Medellín Castilla ,9331.57929635878
159,Origen-Destino,282,Doce de Octubre - HPTU,2B,Directa Centro,Transporte Medellín Castilla ,8769.25663997766
180,Origen-Destino,170,Belén Las Playas,3A,Directa Centro,Cootrabel,8309.9604183668
182,Origen-Destino,172,Belén La Gloria,3A,Directa Centro,Cootrabel,12971.5487795495
184,Origen-Destino,178,Belén La Nubia,3A,Directa Centro,Cootrabel,13596.2414022552
187,Origen-Destino,130A,Poblado Parque alterna,5A,Directa Centro,Autobuses Poblado Laureles,11445.2182416578
188,Origen-Destino,130i,Industriales - Aguacatala,5A,Integrada,Autobuses Poblado Laureles,6811.62058660215
189,Origen-Destino,132,Poblado Éxito directa,5A,Directa Centro,Autobuses Poblado Laureles,9250.5258846617
186,Origen-Destino,130,Poblado Parque directa,5A,Directa Centro,Autobuses Poblado Laureles,10827.0491342384
170,Origen-Destino,Anillo 3H Carrera 65 Horario Esp,Alpujarra - Oriental sentido horario,2B,Directa Centro,Transporte Medellín Castilla,9623.92043443891
171,Origen-Destino,Anillo F1 Carrera 65,Av. Greiff - Puente Horacio Toro,2B,Directa Centro,Transporte Medellín Castilla,7112.18217546058
172,Origen-Destino,Anillo F2 Carrera 65,Av. Regional - San Diego,2B,Directa Centro,Transporte Medellín Castilla,9827.76540461775
173,Origen-Destino,Anillo F3 Carrera 65,Parque Los Periodistas,2B,Directa Centro,Transporte Medellín Castilla,8428.98481983408
174,Origen-Destino,Anillo 1 Carrera 73,Carabobo - Av. Greiff,2B,Directa Centro,Transporte Medellín Castilla,6324.56988232669
175,Origen-Destino,Anillo 2 Carrera 73,El Hueco - Parque Berrío,2B,Directa Centro,Transporte Medellín Castilla,8275.63146198966
176,Origen-Destino,Anillo 3ah Carrera 73,Alpujarra - Oriental sentido antihorario,2B,Directa Centro,Transporte Medellín Castilla,9409.9228467799
177,Origen-Destino,Anillo 3h Carrera 73,Alpujarra - Oriental sentido horario,2B,Directa Centro,Transporte Medellín Castilla,7545.82488098162
178,Origen-Destino,Anillo F1 Carrera 73,Av. Greiff - Puente Horacio Toro,2B,Directa Centro,Transporte Medellín Castilla,6908.64408346316
179,Origen-Destino,Anillo F3 Carrera 73,Parque Los Periodistas,2B,Directa Centro,Transporte Medellín Castilla,17824.5670767198
190,Origen-Destino,132A,Poblado Éxito alterna,5A,Directa Centro,Autobuses Poblado Laureles,7716.11242854859
191,Origen-Destino,132i,"La Visitación, Oviedo, U. Eafit",5A,Integrada,Autobuses Poblado Laureles,4096.60747818632
192,Origen-Destino,132iA,"La Visitación, Oviedo, U. Eafit alterna",5A,Integrada,Autobuses Poblado Laureles,5273.11944954408
