"route_id","agency_id","route_short_name","route_long_name","route_desc","route_type","route_url","route_color","route_text_color","route_sort_order"
"37 - 39","Sitva-29","37 - 39","Hueco","Directa Centro","3","","","",""
"37 - 39","Sitva-29","37 - 39","Ferrocarril Minorista","Directa Centro","3","","","",""
"37 - 39","Sitva-29","37 - 39","Villanueva","Directa Centro","3","","","",""
"51-52 CV-C","Sitva-23","51-52 CV-C","Campo Valdés Centro","Directa Centro","3","","","",""
"51-52 CV-SD","Sitva-23","51-52 CV-SD","Campo Valdés San Diego","Directa Centro","3","","","",""
"94","Sitva-22","94","Santa Lucía","Directa Centro","3","","","",""
"95","Sitva-22","95","Perlas","Directa Centro","3","","","",""
"95","Sitva-22","95","Perlas Minorista","Directa Centro","3","","","",""
"95","Sitva-22","95","Villatina  ","Directa Centro","3","","","",""
"95","Sitva-22","95","Villatina Minorista","Directa Centro","3","","","",""
"103","Sitva-30","103","Sierra Minorista","Directa Centro","3","","","",""
"103","Sitva-30","103","Mirlas","Directa Centro","3","","","",""
"103","Sitva-30","103","Mirlas Minorista","Directa Centro","3","","","",""
"107","Sitva-31","107","Perlas","Directa Centro","3","","","",""
"190","Sitva-2","190","Laureles Parque","Directa Centro","3","","","",""
"191","Sitva-2","191","Laureles Éxito","Directa Centro","3","","","",""
"192","Sitva-2","192","Laureles Nogal # 1","Directa Centro","3","","","",""
"107","Sitva-31","107","San Antonio-Minorista","Directa Centro","3","","","",""
"107","Sitva-31","107","Ratón Pelao","Directa Centro","3","","","",""
"107","Sitva-31","107","San Antonio","Directa Centro","3","","","",""
"091V","Sitva-22","091V","Villa Mercedes","Directa Centro","3","","","",""
"105","Sitva-32","105","Golondrinas","Directa Centro","3","","","",""
"105","Sitva-32","105","Golondrinas - Minorista","Directa Centro","3","","","",""
"105","Sitva-32","105","Golondrinas horario especial","Directa Centro","3","","","",""
"105","Sitva-32","105","Golondrinas horario nocturno","Directa Centro","3","","","",""
"105","Sitva-32","105","Villa Mercedes","Directa Centro","3","","","",""
"106","Sitva-32","106","Tres Esquinas","Directa Centro","3","","","",""
"106","Sitva-32","106","Tres Esquinas - Minorista","Directa Centro","3","","","",""
