"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_timezone","wheelchair_boarding","level_id","platform_code","agency_email"
"54597","","CR 36 83-43, Medellin","America/Bogota","-75.546428498340092","6.274897554745255","","","","","America/Bogota","","","",""
"54598","","CR 36 84A-05, Medellin","America/Bogota","-75.546419550989441","6.275287943673439","","","","","America/Bogota","","","",""
"54599","","CL 55A 58-05, Medellin","America/Bogota","-75.546415647974285","6.25109949218611","","","","","America/Bogota","","","",""
"54600","","CR 36 84A-45, Medellin","America/Bogota","-75.546400716403227","6.275613629603255","","","","","America/Bogota","","","",""
"54601","","CR 10 x CL 12, Medellin","America/Bogota","-75.546341261171534","6.211637852026451","","","","","America/Bogota","","","",""
"54602","","CR 32 82A-31, Medellin","America/Bogota","-75.54633817558981","6.273929189648091","","","","","America/Bogota","","","",""
"54603","","CR 36 x CL 83, Medellin","America/Bogota","-75.54633717975949","6.274880135979834","","","","","America/Bogota","","","",""
"54604","","CL 57FF x CR 24AA, Medellin","America/Bogota","-75.546337739551518","6.250187269753048","","","","","America/Bogota","","","",""
"54605","","CR 36 x CL 84A, Medellin","America/Bogota","-75.546302209155371","6.275404946756187","","","","","America/Bogota","","","",""
"54606","","CR 36 84B-06, Medellin","America/Bogota","-75.546293257296568","6.275588270922865","","","","","America/Bogota","","","",""
"54607","","CL 82B 84-98, Medellin","America/Bogota","-75.546250487542551","6.274084514509814","","","","","America/Bogota","","","",""
"54608","","CR 10 x CL 10A, Medellin","America/Bogota","-75.54622942751142","6.210378303427063","","","","","America/Bogota","","","",""
"54609","","CL 111 42C-08, Medellin","America/Bogota","-75.546190990841708","6.30079792034328","","","","","America/Bogota","","","",""
"54610","","CL 46A x CR 16E, Medellin","America/Bogota","-75.546176088889027","6.234644807404486","","","","","America/Bogota","","","",""
"54611","","CR 37A 104-29, Medellin","America/Bogota","-75.546161491745366","6.292876765155331","","","","","America/Bogota","","","",""
"54612","","CR 36 86B-85, Medellin","America/Bogota","-75.546147832483769","6.280482236237733","","","","","America/Bogota","","","",""
"54613","","CR 34 75B-15, Medellin","America/Bogota","-75.546140447405321","6.26821916593904","","","","","America/Bogota","","","",""
"54614","","CR 34 75B-04, Medellin","America/Bogota","-75.546071556490389","6.268134260806674","","","","","America/Bogota","","","",""
"54615","","CR 37A 104-32, Medellin","America/Bogota","-75.546058983363764","6.292943338250171","","","","","America/Bogota","","","",""
"54616","","CL 89A 36-13, Medellin","America/Bogota","-75.546045542469329","6.281151806954924","","","","","America/Bogota","","","",""
"54617","","CL 100 35A-78, Medellin","America/Bogota","-75.546044139040646","6.289697390908669","","","","","America/Bogota","","","",""
"54618","","CR 24B x CL 57C, Medellin","America/Bogota","-75.546030909605335","6.248727160409542","","","","","America/Bogota","","","",""
"54619","","CL 107AA 37-11, Medellin","America/Bogota","-75.545998238385323","6.294648428605299","","","","","America/Bogota","","","",""
"54620","","CL 89 x CR 36, Medellin","America/Bogota","-75.545995041136862","6.28107208989121","","","","","America/Bogota","","","",""
"54621","","CR 24B 24A-143, Medellin","America/Bogota","-75.545993402326417","6.248533708354312","","","","","America/Bogota","","","",""
"54622","","CR 22C 59A-05, Medellin","America/Bogota","-75.545982543456475","6.252020545361961","","","","","America/Bogota","","","",""
"54623","","CR 22C x CL 59AA, Medellin","America/Bogota","-75.545976637621706","6.252248193254247","","","","","America/Bogota","","","",""
"54624","","CL 57EE x  24  , Medellin","America/Bogota","-75.545970759845801","6.25003491393851","","","","","America/Bogota","","","",""
"54625","","CL 35 x  16  , Medellin","America/Bogota","-75.545954945715181","6.228193060053265","","","","","America/Bogota","","","",""
"54626","","CR 26A 56B-, Medellin","America/Bogota","-75.545950206680487","6.246515766065039","","","","","America/Bogota","","","",""
"54627","","CL 118 42BB-04, Medellin","America/Bogota","-75.54594672891524","6.301383879716544","","","","","America/Bogota","","","",""
"54628","","CR 34 85C-31, Medellin","America/Bogota","-75.545943920035413","6.277467016667516","","","","","America/Bogota","","","",""
"54629","","CR 36 87-03, Medellin","America/Bogota","-75.545936483753408","6.280807678420079","","","","","America/Bogota","","","",""
"54630","","CR 36 96-20, Medellin","America/Bogota","-75.545917097924487","6.287059601080662","","","","","America/Bogota","","","",""
"54631","","CL 49 18-27, Medellin","America/Bogota","-75.545913261125762","6.2372436758196","","","","","America/Bogota","","","",""
"54632","","CR 34 85D-25, Medellin","America/Bogota","-75.545909378029236","6.277891533350424","","","","","America/Bogota","","","",""
"54633","","CR 34 86A-, Medellin","America/Bogota","-75.545899950754446","6.278848189339754","","","","","America/Bogota","","","",""
"54634","","CL 85B 34-07, Medellin","America/Bogota","-75.545897391094428","6.276480659815228","","","","","America/Bogota","","","",""
"54635","","CR 34 x CL 85C, Medellin","America/Bogota","-75.545891462456751","6.277403100459124","","","","","America/Bogota","","","",""
"54636","","CR 42B 110BB-18, Medellin","America/Bogota","-75.545883758664274","6.299793198418112","","","","","America/Bogota","","","",""
"54637","","CL 56 x CR 24C, Medellin","America/Bogota","-75.545883799774359","6.243665512865074","","","","","America/Bogota","","","",""
"54638","","CL 57EE x CR 24, Medellin","America/Bogota","-75.545877541446259","6.249884216783355","","","","","America/Bogota","","","",""
"54639","","CR 37 104-29, Medellin","America/Bogota","-75.54587469121455","6.292928483573905","","","","","America/Bogota","","","",""
"54640","","CL 56A 26A-13, Medellin","America/Bogota","-75.545869635872549","6.246619774692122","","","","","America/Bogota","","","",""
"54641","","CL 85E 32-71, Medellin","America/Bogota","-75.545855544308012","6.277880080751135","","","","","America/Bogota","","","",""
"54642","","CR 37 107A-18, Medellin","America/Bogota","-75.54585448141944","6.294593701469091","","","","","America/Bogota","","","",""
"54643","","CR 34 x CL 86AB, Medellin","America/Bogota","-75.545847058873179","6.278822828008636","","","","","America/Bogota","","","",""
"54644","","CR 34 75C-07, Medellin","America/Bogota","-75.54584471052587","6.268522558082876","","","","","America/Bogota","","","",""
"54645","","CR 36 86B-126, Medellin","America/Bogota","-75.545815963840269","6.280727759026026","","","","","America/Bogota","","","",""
"54646","","CR 34 86AE-07, Medellin","America/Bogota","-75.54580274731741","6.279445124527414","","","","","America/Bogota","","","",""
"54647","","CR 36 89-25, Medellin","America/Bogota","-75.545789846961156","6.281240296744759","","","","","America/Bogota","","","",""
"54648","","CR 32 81-19, Medellin","America/Bogota","-75.545778923231396","6.272229628019886","","","","","America/Bogota","","","",""
