"route_id","agency_id","route_short_name","route_long_name","route_desc","route_type","route_url","route_color","route_text_color","route_sort_order"
"C6-019A","Sitva-0","C6-019A","El Raizal - Jardín - Gardel","Alimentadora","3","","","",""
"085","Sitva-19","085","La Honda","Directa Centro","3","","","",""
"90","Sitva-21","90","Pinal","Directa Centro","3","","","",""
"91","Sitva-21","91","Alcázares de Sucre","Directa Centro","3","","","",""
"112","Sitva-21","112","Las Palmas","Directa Centro","3","","","",""
"133D","Sitva-6","133D","San Lucas directa","Directa Centro","3","","","",""
"111","Sitva-13","111","El Salvador","Directa Centro","3","","","",""
"133i","Sitva-6","133i","San Lucas","Integrada","3","","","",""
"133ii","Sitva-6","133ii","Campestre, ISA, Loma de Los González","Integrada","3","","","",""
"133iiA","Sitva-6","133iiA","Balsos La Y","Integrada","3","","","",""
"134","Sitva-6","134","Poblado - El Tesoro - La Chacona","Directa Centro","3","","","",""
"134i","Sitva-6","134i","La Y","Integrada","3","","","",""
"93","Sitva-21","93","Caicedo","Directa Centro","3","","","",""
"134Y","Sitva-6","134Y","Poblado - El Tesoro - La Y","Directa Centro","3","","","",""
"103","Sitva-22","103","Sierra","Directa Centro","3","","","",""
"103","Sitva-22","103","Sierra Minorista","Directa Centro","3","","","",""
"103","Sitva-22","103","Mirlas","Directa Centro","3","","","",""
"103","Sitva-22","103","Mirlas Minorista","Directa Centro","3","","","",""
"2","Sitva-23","2","Santa Rita -Zamora","Directa Centro","3","","","",""
"6","Sitva-24","6","La Francia","Directa Centro","3","","","",""
"22","Sitva-25","22","Santa Cruz - Terminal","Directa Centro","3","","","",""
"099 Horario Esp","Sitva-26","099 Horario Esp","Cerros de Quintalinda","Directa Centro","3","","","",""
"102A","Sitva-12","102A","Pablo Escobar-Cataluña","Directa No Centro","3","","","",""
"23","Sitva-25","23","Popular N° 1","Directa Centro","3","","","",""
"041D","Sitva-25","041D","Aranjuez anillo derecha","Directa Centro","3","","","",""
"041I","Sitva-25","041I","Aranjuez anillo izquierda","Directa Centro","3","","","",""
"42","Sitva-25","42","Aranjuez intermedia","Directa Centro","3","","","",""
"24","Sitva-25","24","Playón de los Comuneros - Oriental","Directa Centro","3","","","",""
"37 - 39","Sitva-27","37 - 39","Hueco","Directa Centro","3","","","",""
"110","Sitva-13","110","La Milagrosa","Directa No Centro","3","","","",""
"111","Sitva-13","111","El Salvador","Directa Centro","3","","","",""
"112","Sitva-21","112","Las Palmas","Directa Centro","3","","","",""
"113","Sitva-13","113","Ávila - Cataluña","Directa Centro","3","","","",""
"113M","Sitva-13","113M","Pablo E.","Directa Centro","3","","","",""
"81","Sitva-15","81","Villa Hermosa - Derecho","Directa Centro","3","","","",""
"111","Sitva-13","111","El Salvador Barrio Nacional","Directa Centro","3","","","",""
"111","Sitva-13","111","El Salvador derecho","Directa Centro","3","","","",""
